no,company,location,sector,part,career_url,ats
1,adjoe,Hamburg,AdTech / Mobile,official,https://www.hugedomains.com/domain_profile.cfm?d=adjoe.com/careers,generic
2,AppLike Group,Hamburg,Mobile / Venture,official,https://applike.com/careers,generic
3,ABOUT YOU,Hamburg,E-commerce,official,https://www.aboutyou.com/your-shop/careers,generic
4,OTTO Group,Hamburg,E-commerce / Retail,official,https://www.otto.de/unternehmen/,needs_review
5,New Work SE (XING),Hamburg,HR Tech,official,https://newwork.com/,needs_review
6,Statista,Hamburg,Data / SaaS,official,https://jobs.ashbyhq.com/statista,generic
7,Jimdo,Hamburg,SaaS,official,https://www.jimdo.com/,needs_review
8,MOIA,Hamburg,Mobility,official,https://moia.com/careers,generic
9,FREE NOW,Hamburg,Mobility,official,,needs_review
10,Kuehne+Nagel,Hamburg,Logistics Tech,official,https://www.kuehne-nagel.com/,needs_review
11,Hapag-Lloyd,Hamburg,Shipping Tech,official,https://www.hapag-lloyd.com/de/home.html,needs_review
12,Beiersdorf,Hamburg,Consumer / Digital,official,https://www.beiersdorf.com/career/overview,generic
13,Tchibo,Hamburg,Retail / Digital,official,https://www.tchibo-karriere.de/en/?utm_source=tchibo.com,generic
14,Hermes Germany,Hamburg,Logistics Tech,official,,needs_review
15,Nexperia,Hamburg,Semiconductors,official,https://www.nexperia.com/careers,generic
16,Airbus,Hamburg,Aerospace Software,official,https://www.airbus.com/en/careers,generic
17,Lufthansa Technik,Hamburg,Aviation Tech,official,https://www.lufthansa-technik.com:443/en/career,generic
18,Nordex,Hamburg,Energy Tech,official,https://nordex.com/careers/,generic
19,Encavis,Hamburg,Energy / Digital,official,https://www.encavis.com/de/karriere,generic
20,Körber,Hamburg,Industrial Tech,official,,needs_review
21,Collective Minds Radiology,Hamburg,HealthTech,official,,needs_review
22,Goodgame Studios,Hamburg,Gaming,official,https://goodgamestudios.com/,needs_review
23,InnoGames,Hamburg,Gaming,official,https://www.innogames.com/career,generic
24,Bigpoint,Hamburg,Gaming,official,https://www.bigpoint.net/?originalURL=bigpoint.com&/careers,generic
25,DeepL,Cologne / Berlin,AI / Language,official,https://www.deepl.com/en/careers,generic
26,RTL Deutschland,Cologne,Media Tech,official,https://company.rtl.com/en/error/,generic
27,REWE digital,Cologne,Retail Tech,official,,needs_review
28,Trusted Shops,Cologne,E-commerce SaaS,official,https://www.trustedshops.de/,needs_review
29,QuantCo,Cologne / Berlin / Munich,AI / Analytics,official,https://www.quantco.com/jobs,generic
30,LeanIX,Bonn,Enterprise SaaS,official,https://jobs.sap.com/search/?createNewAlert=false&q=LeanIX&locationsearch=&optionsF%5B%E2%80%A6%5Drtment=&optionsFacetsDD_customfield3=&optionsFacetsDD_country=,generic
31,Deutsche Telekom,Bonn,Telecom / Cloud,official,https://careers.telekom.com/en,generic
32,DHL Group,Bonn,Logistics Tech,official,https://www.dhl.de/de/privatkunden.html,needs_review
33,Deutsche Welle,Bonn / Berlin,Media Tech,official,,needs_review
34,Zalando,Berlin,E-commerce Tech,official,https://zalando.com/careers,generic
35,Delivery Hero,Berlin,Delivery Tech,official,,needs_review
36,HelloFresh,Berlin,FoodTech,official,https://careers.hellofresh.com/global/en,generic
37,N26,Berlin,FinTech,official,https://n26.com/en-eu/careers,generic
38,Trade Republic,Berlin,FinTech,official,https://traderepublic.com/en-de,needs_review
39,GetYourGuide,Berlin,TravelTech,official,,needs_review
40,Contentful,Berlin,SaaS / CMS,official,,needs_review
41,Babbel,Berlin,EdTech,official,https://www.babbel.com/,needs_review
42,SumUp,Berlin,FinTech,official,https://www.sumup.com/careers/,generic
43,Solaris,Berlin,FinTech,official,https://www.apollo.de/,needs_review
44,Mambu,Berlin,FinTech SaaS,official,https://mambu.com/en/careers,generic
45,Taxfix,Berlin,FinTech,official,https://taxfix.com/,needs_review
46,Raisin,Berlin,FinTech,official,,needs_review
47,Wefox,Berlin,InsurTech,official,https://www.wefox.com/,generic
48,Clark,Berlin / Frankfurt,InsurTech,official,https://clark.com/careers,generic
49,CoachHub,Berlin,HR Tech,official,https://www.coachhub.com/career,generic
50,Personio,Munich / Berlin,HR Tech,official,,needs_review
51,sennder,Berlin,Logistics Tech,official,https://www.sennder.com/career,generic
52,Forto,Berlin,Logistics Tech,official,https://careers.forto.com/,generic
53,Flix,Munich / Berlin,Mobility Tech,official,https://www.flixbus.com,needs_review
54,Omio,Berlin,TravelTech,official,https://www.omio.com/,needs_review
55,SoundCloud,Berlin,Music Tech,official,https://soundcloud.com/careers,generic
56,Ableton,Berlin,Music Software,official,https://www.ableton.com/en/jobs/,generic
57,Native Instruments,Berlin,Music Software,official,https://www.native-instruments.com/pages/careers,generic
58,Wooga,Berlin,Gaming,official,https://www.wooga.com/jobs,generic
59,Kolibri Games,Berlin,Gaming,official,https://kolibrigames.com/career,generic
60,King Berlin,Berlin,Gaming,official,,needs_review
