no,company,location,sector,part,career_url,ats
1,adjoe,Hamburg,AdTech / Mobile,official,,
2,AppLike Group,Hamburg,Mobile / Venture,official,,
3,ABOUT YOU,Hamburg,E-commerce,official,,
4,OTTO Group,Hamburg,E-commerce / Retail,official,,
5,New Work SE (XING),Hamburg,HR Tech,official,,
6,Statista,Hamburg,Data / SaaS,official,,
7,Jimdo,Hamburg,SaaS,official,,
8,MOIA,Hamburg,Mobility,official,,
9,FREE NOW,Hamburg,Mobility,official,,
10,Kuehne+Nagel,Hamburg,Logistics Tech,official,,
11,Hapag-Lloyd,Hamburg,Shipping Tech,official,,
12,Beiersdorf,Hamburg,Consumer / Digital,official,,
13,Tchibo,Hamburg,Retail / Digital,official,,
14,Hermes Germany,Hamburg,Logistics Tech,official,,
15,Nexperia,Hamburg,Semiconductors,official,,
16,Airbus,Hamburg,Aerospace Software,official,,
17,Lufthansa Technik,Hamburg,Aviation Tech,official,,
18,Nordex,Hamburg,Energy Tech,official,,
19,Encavis,Hamburg,Energy / Digital,official,,
20,Körber,Hamburg,Industrial Tech,official,,
21,Collective Minds Radiology,Hamburg,HealthTech,official,,
22,Goodgame Studios,Hamburg,Gaming,official,,
23,InnoGames,Hamburg,Gaming,official,,
24,Bigpoint,Hamburg,Gaming,official,,
25,DeepL,Cologne / Berlin,AI / Language,official,,
26,RTL Deutschland,Cologne,Media Tech,official,,
27,REWE digital,Cologne,Retail Tech,official,,
28,Trusted Shops,Cologne,E-commerce SaaS,official,,
29,QuantCo,Cologne / Berlin / Munich,AI / Analytics,official,,
30,LeanIX,Bonn,Enterprise SaaS,official,,
31,Deutsche Telekom,Bonn,Telecom / Cloud,official,,
32,DHL Group,Bonn,Logistics Tech,official,,
33,Deutsche Welle,Bonn / Berlin,Media Tech,official,,
34,Zalando,Berlin,E-commerce Tech,official,,
35,Delivery Hero,Berlin,Delivery Tech,official,,
36,HelloFresh,Berlin,FoodTech,official,,
37,N26,Berlin,FinTech,official,,
38,Trade Republic,Berlin,FinTech,official,,
39,GetYourGuide,Berlin,TravelTech,official,,
40,Contentful,Berlin,SaaS / CMS,official,,
41,Babbel,Berlin,EdTech,official,,
42,SumUp,Berlin,FinTech,official,,
43,Solaris,Berlin,FinTech,official,,
44,Mambu,Berlin,FinTech SaaS,official,,
45,Taxfix,Berlin,FinTech,official,,
46,Raisin,Berlin,FinTech,official,,
47,Wefox,Berlin,InsurTech,official,,
48,Clark,Berlin / Frankfurt,InsurTech,official,,
49,CoachHub,Berlin,HR Tech,official,,
50,Personio,Munich / Berlin,HR Tech,official,,
51,sennder,Berlin,Logistics Tech,official,,
52,Forto,Berlin,Logistics Tech,official,,
53,Flix,Munich / Berlin,Mobility Tech,official,,
54,Omio,Berlin,TravelTech,official,,
55,SoundCloud,Berlin,Music Tech,official,,
56,Ableton,Berlin,Music Software,official,,
57,Native Instruments,Berlin,Music Software,official,,
58,Wooga,Berlin,Gaming,official,,
59,Kolibri Games,Berlin,Gaming,official,,
60,King Berlin,Berlin,Gaming,official,,
61,Ubisoft Berlin,Berlin,Gaming,official,,
62,Helsing,Berlin / Munich,Defence AI,official,,
63,Enpal,Berlin,ClimateTech,official,,
64,1KOMMA5°,Hamburg / Berlin,ClimateTech,official,,
65,Zolar,Berlin,ClimateTech,official,,
66,Thermondo,Berlin,ClimateTech,official,,
67,TIER Mobility,Berlin,Mobility,official,,
68,Vay,Berlin / Hamburg,Mobility,official,,
69,Miles Mobility,Berlin,Mobility,official,,
70,AUTO1 Group,Berlin,Automotive Tech,official,,
71,HeyJobs,Berlin,HR Tech,official,,
72,StepStone,Düsseldorf / Berlin,HR Tech,official,,
73,ResearchGate,Berlin,Research SaaS,official,,
74,Komoot,Potsdam / Remote,Outdoor Tech,official,,
75,Ecosia,Berlin,Search / Climate,official,,
76,Mozilla Germany,Berlin,Internet Software,official,,
77,GitLab Germany,Remote Germany,DevTools,official,,
78,GitHub Germany,Remote Germany,DevTools,official,,
79,Datadog Germany,Berlin / Munich,Cloud Monitoring,official,,
80,Snowflake Germany,Berlin / Munich,Cloud Data,official,,
81,MongoDB Germany,Berlin / Munich,Database,official,,
82,Elastic Germany,Berlin / Remote,Search / Cloud,official,,
83,Confluent Germany,Remote / Munich,Data Streaming,official,,
84,HashiCorp Germany,Remote Germany,Cloud Infrastructure,official,,
85,Red Hat Germany,Munich / Remote,Enterprise Software,official,,
86,Canonical Germany,Remote Germany,Open Source,official,,
87,Grafana Labs Germany,Remote Germany,Observability,official,,
88,Cloudflare Germany,Munich / Remote,Cloud / Security,official,,
89,Fastly Germany,Remote Germany,Edge Cloud,official,,
90,Amazon Germany,Berlin / Munich / Dresden,Cloud / E-commerce,official,,
91,AWS Germany,Berlin / Munich / Frankfurt,Cloud,official,,
92,Google Germany,Munich / Berlin / Hamburg,Big Tech,official,,
93,Microsoft Germany,Munich / Berlin / Hamburg,Big Tech / Cloud,official,,
94,Apple Germany,Munich / Berlin,Consumer Tech,official,,
95,Meta Germany,Berlin / Hamburg,Big Tech,official,,
96,IBM Germany,Multiple cities,Enterprise Tech,official,,
97,Oracle Germany,Multiple cities,Enterprise Software,official,,
98,SAP,Walldorf / Berlin / Munich,Enterprise Software,official,,
99,Salesforce Germany,Munich / Berlin / Frankfurt,Enterprise SaaS,official,,
100,ServiceNow Germany,Munich / Frankfurt,Enterprise SaaS,official,,
101,Workday Germany,Munich,Enterprise SaaS,official,,
102,Atlassian Germany,Remote / Berlin,DevTools,official,,
103,JetBrains Germany,Munich / Berlin,DevTools,official,,
104,Celonis,Munich,Process Mining,official,,
105,UiPath Germany,Munich,Automation,official,,
106,Palantir Germany,Munich,Data / AI,official,,
107,OpenAI Germany,Munich,AI,official,,
108,NVIDIA Germany,Munich / Berlin,AI / Semiconductors,official,,
109,Intel Germany,Munich / Karlsruhe,Semiconductors,official,,
110,AMD Germany,Munich,Semiconductors,official,,
111,Qualcomm Germany,Munich / Berlin,Semiconductors,official,,
112,Arm Germany,Munich,Semiconductors,official,,
113,Infineon,Munich / Dresden,Semiconductors,official,,
114,Bosch,Stuttgart / Multiple,Industrial / IoT,official,,
115,Bosch Digital,Stuttgart / Berlin,Enterprise Digital,official,,
116,Siemens,Munich / Erlangen / Berlin,Industrial Tech,official,,
117,Siemens Energy,Munich / Berlin / Erlangen,Energy Tech,official,,
118,Siemens Healthineers,Erlangen / Munich,HealthTech,official,,
119,BMW Group,Munich,Automotive Software,official,,
120,Mercedes-Benz,Stuttgart,Automotive Software,official,,
121,Mercedes-Benz Tech Innovation,Stuttgart / Berlin,Automotive Software,official,,
122,Porsche,Stuttgart,Automotive Software,official,,
123,Porsche Digital,Stuttgart / Berlin,Automotive Digital,official,,
124,Volkswagen Group,Wolfsburg / Berlin,Automotive Software,official,,
125,CARIAD,Wolfsburg / Berlin / Munich,Automotive Software,official,,
126,Audi,Ingolstadt / Munich,Automotive Software,official,,
127,MAN Truck & Bus,Munich,Automotive / Embedded,official,,
128,TRATON,Munich,Commercial Vehicle Tech,official,,
129,Continental,Hanover / Frankfurt,Automotive Tech,official,,
130,ZF,Friedrichshafen,Automotive Tech,official,,
131,Schaeffler,Herzogenaurach,Industrial / Automotive,official,,
132,MAHLE,Stuttgart,Automotive Tech,official,,
133,Brose,Coburg / Bamberg,Automotive Tech,official,,
134,Webasto,Stockdorf,Automotive Tech,official,,
